"","also","can","even","get","know","new","one","people","subject","think","use","well","will","article","dont","good","just","now","time","writes"
"114",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"115",2,11,1,4,7,1,3,15,1,23,2,8,3,0,11,5,5,2,4,1
"116",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"117",0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,2
"118",0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"119",0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1
"120",0,1,0,0,0,1,1,0,1,0,0,0,0,1,2,0,1,0,0,2
"121",0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,1
"122",0,0,0,0,1,0,4,1,1,0,0,0,0,0,1,0,0,0,0,1
"123",1,0,0,0,1,0,1,0,1,0,0,0,8,0,0,0,0,0,1,1
"124",0,2,0,0,0,0,2,0,2,2,0,1,0,0,0,0,0,0,0,1
"125",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"126",0,1,2,0,0,0,1,2,1,1,0,0,1,1,3,0,1,0,0,1
"127",0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2
"128",0,1,0,0,0,0,0,4,1,0,0,1,0,2,0,0,0,0,1,2
"129",1,1,1,0,1,0,2,0,1,1,2,0,3,1,3,0,0,0,2,1
"130",0,1,3,0,1,0,2,1,1,3,3,0,1,2,5,2,0,0,0,2
"131",0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
"132",0,0,0,4,0,1,2,0,1,0,0,0,2,1,0,0,3,1,0,1
"133",0,0,1,1,0,0,3,0,1,0,0,0,0,1,1,0,0,0,0,1
"134",1,3,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,1
"135",0,1,1,0,1,0,9,1,1,1,1,3,1,2,1,2,0,0,1,2
"136",0,2,2,0,0,1,2,0,1,1,0,0,0,1,4,0,0,0,0,1
"137",0,2,0,0,0,0,1,2,1,0,0,0,1,0,2,0,1,0,1,1
"138",0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1
"139",0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
"140",0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1
"141",0,0,1,0,0,0,2,0,1,0,2,1,3,0,2,2,1,0,0,0
"142",0,0,0,0,0,0,3,0,1,0,0,2,0,0,2,0,0,0,0,1
"143",0,1,1,0,1,1,10,1,1,3,0,0,0,0,2,0,0,0,1,1
"144",0,4,0,1,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,1
"145",0,1,0,0,1,0,2,0,1,2,0,0,0,1,2,1,0,0,0,0
"146",0,1,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,1,1
"147",0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,0,1
"148",0,4,0,1,0,0,3,0,1,0,0,1,2,1,0,0,0,4,1,2
"149",1,5,1,1,0,0,3,4,1,7,0,0,0,1,0,0,4,1,1,2
"150",0,1,0,0,0,0,1,2,1,1,0,0,0,0,0,0,2,0,0,2
"151",4,9,0,4,0,0,3,1,1,2,0,1,2,0,0,0,7,2,2,2
"152",0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,2
"153",0,3,0,0,0,0,3,1,1,0,0,0,1,1,0,0,0,2,2,2
"154",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
"155",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1
"156",1,3,1,0,0,0,2,2,1,0,0,2,1,1,3,1,1,0,2,1
"157",0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0
"158",0,1,0,1,0,0,6,0,1,0,0,0,0,1,0,0,0,1,0,1
"159",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
"160",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1
"161",0,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,1
"162",2,5,2,0,0,0,5,9,1,1,1,3,7,0,2,0,3,5,1,0
"163",0,1,0,1,1,0,0,1,1,1,0,0,0,0,2,0,0,1,0,1
"164",1,2,1,0,1,0,9,0,1,1,1,0,0,1,1,0,0,0,1,1
"165",0,1,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,1
"166",0,0,3,0,0,0,3,0,1,0,0,0,1,1,2,0,0,1,0,1
"167",0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1
"168",0,2,0,0,0,0,5,0,1,0,1,1,2,1,0,0,0,0,0,1
"169",0,3,1,0,4,1,4,2,1,3,1,3,0,2,1,1,0,0,3,2
"170",0,0,0,0,0,1,1,0,1,2,1,2,1,4,1,0,0,0,1,5
"171",0,2,1,0,0,0,2,2,1,3,0,0,0,1,1,0,2,0,0,1
"172",0,7,0,1,0,0,3,1,1,0,0,1,2,1,0,0,0,0,0,1
"173",0,3,2,0,2,1,7,4,1,3,1,0,2,1,2,1,2,2,0,2
"174",1,0,1,0,0,0,3,0,1,1,0,0,0,0,1,0,1,1,0,2
"175",0,0,0,0,0,2,0,0,2,1,0,0,3,0,0,0,1,2,2,2
"176",0,11,0,1,1,1,8,1,1,0,0,1,4,2,6,0,0,7,3,0
"177",0,0,0,1,0,0,1,0,1,4,0,0,0,0,2,0,0,0,0,1
"178",0,0,0,0,0,0,1,0,2,1,0,0,1,0,0,0,2,0,0,0
"179",0,1,1,1,2,1,8,0,1,2,0,3,1,1,1,1,0,0,1,1
"180",1,6,2,0,2,0,5,1,2,2,3,0,3,2,6,1,1,1,2,2
"181",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"182",0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
"183",0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"184",0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"185",0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0
"186",0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,2,0
"187",0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"188",1,11,2,0,0,0,2,1,1,0,0,1,0,0,1,0,3,0,0,0
"189",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"190",3,9,2,0,0,0,6,6,1,6,0,0,1,1,3,0,3,0,0,2
"191",4,6,1,3,0,1,6,3,2,12,0,2,3,3,2,4,4,4,0,2
"192",2,1,0,0,0,0,1,2,1,5,0,0,0,2,2,1,1,1,0,2
"193",12,14,4,1,10,5,17,11,21,2,0,5,15,6,4,4,9,1,2,0
"194",8,22,3,0,3,1,24,7,3,0,1,5,14,1,2,1,1,1,0,0
"195",2,1,0,2,0,5,0,3,3,0,0,0,2,4,3,1,0,0,2,0
"196",0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0
"197",0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
"198",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"199",0,1,2,1,0,0,6,5,1,0,0,0,3,0,2,0,5,0,0,1
"200",0,1,0,0,2,1,0,0,1,0,0,1,0,1,3,0,0,0,1,3
"201",0,0,0,0,1,0,1,0,1,0,0,0,3,1,0,0,0,0,0,1
"202",1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1
"203",0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0
"204",4,20,4,1,0,3,8,6,1,6,1,3,4,0,4,1,3,0,1,0
"205",0,2,1,0,0,0,1,0,1,0,0,0,0,4,1,0,1,0,2,4
"206",0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1
"207",0,2,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,1
"208",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1
"209",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,2,1,1
"210",1,2,1,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1
"211",0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1
"212",0,1,0,1,0,0,0,2,1,1,0,2,0,0,1,0,1,1,1,2
"213",0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1
"214",0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1
"215",0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,2,2,0,0,1
"216",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2
"217",0,0,0,1,2,1,1,2,2,3,0,1,4,1,3,0,3,0,1,1
"218",0,0,0,0,2,0,1,0,1,1,0,0,0,1,0,0,1,0,0,3
"219",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"220",0,0,0,1,1,0,2,8,1,2,1,1,3,0,5,0,3,0,6,1
"221",0,2,0,0,1,0,1,0,1,0,0,0,0,0,2,0,1,0,0,1
"222",0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,2,0,0,0,0
"223",0,0,2,0,0,0,0,5,1,0,0,0,1,0,0,0,1,0,1,0
"224",0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"225",0,0,0,2,0,1,1,0,1,1,0,0,3,1,1,0,1,0,1,0
"226",0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
"227",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1
"228",0,0,0,0,0,0,3,1,1,0,1,0,0,4,0,0,0,0,0,4
"229",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1
"230",0,1,1,0,0,0,1,0,1,1,0,0,0,2,1,0,1,1,0,2
"231",0,0,0,0,0,0,1,1,1,0,0,1,0,1,2,0,1,1,0,1
"232",0,3,1,0,1,0,2,0,1,4,0,0,0,1,2,0,0,0,0,2
"233",2,0,1,0,0,1,2,1,1,0,0,0,1,1,3,0,3,0,0,1
"234",1,1,1,0,0,0,1,1,1,0,0,0,1,2,0,0,0,0,0,2
"235",0,2,0,0,1,0,1,1,1,0,0,0,0,2,0,0,0,0,0,3
"236",1,0,4,0,0,0,0,0,1,2,0,2,0,2,0,0,1,0,0,2
"237",4,3,0,0,2,0,0,3,1,2,0,2,2,1,0,0,0,0,0,0
"238",2,1,0,0,1,0,1,0,2,1,0,3,1,0,0,1,1,0,0,0
"239",1,3,0,0,0,0,4,0,3,2,0,0,2,3,0,0,0,0,0,3
"240",0,0,1,0,0,0,0,2,1,0,0,1,1,1,0,0,0,0,0,1
"241",0,0,0,0,1,0,1,4,1,0,1,0,2,1,3,0,1,0,1,2
"242",0,4,1,0,6,0,1,0,1,1,0,0,0,0,6,1,1,0,1,1
"243",0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,0,0,0,0,2
"244",1,0,0,1,0,1,0,2,1,0,0,0,0,1,0,0,0,0,3,2
"245",0,4,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1
"246",0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1
"247",0,0,2,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,1,1
"248",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"249",0,2,1,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,1
"250",1,0,0,0,1,1,1,3,1,1,0,0,0,1,2,1,1,1,0,1
"251",0,0,1,0,2,0,2,7,1,2,1,0,3,1,6,2,1,0,4,2
"252",3,1,1,2,1,2,3,6,1,1,0,2,1,2,1,4,1,1,1,2
"253",0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0
"254",0,2,0,1,0,0,2,0,1,5,0,0,1,0,3,1,0,0,0,1
"255",0,0,0,0,1,1,2,0,1,1,0,2,0,0,2,0,0,0,1,1
"256",0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
"257",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
"258",0,1,0,0,0,0,0,0,1,2,0,0,1,0,1,1,0,0,0,1
"259",0,3,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1
"260",0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"261",0,4,0,0,3,1,2,0,1,0,0,1,0,2,1,0,0,0,0,2
"262",0,1,0,0,0,1,1,1,1,0,0,1,1,1,0,6,0,0,0,2
"263",0,1,0,0,0,1,1,0,1,2,0,2,0,1,0,0,2,0,0,2
"264",0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,4,0,0,0
"265",0,0,0,3,0,0,0,1,1,3,0,0,1,0,1,0,0,0,0,0
"266",0,1,0,1,1,0,0,0,1,1,0,0,0,0,3,0,0,1,0,1
"267",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"268",0,3,0,0,1,0,8,3,1,3,0,1,1,0,1,0,3,0,0,0
"269",0,5,0,0,0,0,5,1,1,8,0,2,0,0,5,2,0,1,0,1
"270",0,1,0,1,1,1,1,3,1,1,0,1,2,2,2,0,1,0,1,1
"271",0,4,0,0,0,0,8,0,1,0,0,1,0,2,0,0,0,0,1,2
"272",0,0,0,0,1,0,0,2,1,0,0,1,1,1,0,0,0,0,0,1
"273",0,1,0,0,0,0,1,0,1,0,0,2,0,1,0,0,1,0,0,1
"274",0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"275",0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"276",0,0,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,1
"277",0,0,0,2,0,0,0,0,2,0,0,1,0,2,0,0,1,1,0,2
"278",2,1,0,3,3,0,3,0,2,1,1,0,0,3,1,0,1,0,1,3
"279",0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
"280",0,3,1,0,0,0,1,1,1,2,0,0,0,0,1,0,1,0,0,1
"281",1,3,0,1,3,0,0,1,1,2,0,1,0,0,4,0,0,0,0,1
"282",0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,0,0,1,1
"283",0,1,1,0,0,0,0,0,1,1,0,2,0,2,2,0,0,0,0,2
"284",0,0,0,0,0,0,1,0,2,1,0,0,0,2,1,0,0,0,2,1
"285",1,2,1,1,1,0,1,0,2,0,0,0,1,2,3,0,2,0,0,2
"286",0,0,0,0,1,0,8,3,1,1,0,0,1,0,1,0,2,1,1,1
"287",0,0,0,1,0,0,1,3,1,4,2,0,4,0,2,0,0,0,0,1
"288",0,3,2,0,3,0,4,0,1,4,0,1,0,0,5,0,2,0,0,1
"289",0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,3
"290",0,0,0,1,0,0,1,0,2,0,0,1,0,2,0,1,0,0,0,3
"291",0,0,0,1,0,0,0,0,2,1,0,0,1,2,0,0,0,0,0,2
"292",0,0,1,0,1,0,1,5,1,0,1,1,0,2,3,0,0,0,0,2
"293",1,1,0,0,0,0,1,7,1,2,2,0,1,0,1,0,2,0,3,1
"294",0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,2
"295",0,0,0,1,1,0,1,7,1,0,0,0,0,0,0,0,0,0,0,1
"296",0,0,0,0,0,0,0,0,1,0,0,0,2,2,1,0,0,0,1,2
"297",0,4,1,1,0,0,1,2,1,2,0,0,0,1,1,0,2,0,0,2
"298",0,2,1,0,0,0,1,1,1,2,0,0,1,0,1,0,0,0,0,1
"299",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
"300",0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,1
"301",1,4,0,1,4,0,0,2,1,2,1,2,0,1,4,0,0,0,0,2
"302",0,0,0,0,1,0,7,3,1,0,0,1,0,1,0,0,1,1,1,2
"303",1,4,2,0,2,0,2,2,1,1,0,0,0,0,3,3,2,0,1,0
"304",0,2,1,0,1,0,0,1,1,1,0,0,1,0,1,0,2,0,0,0
"305",0,1,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
"306",0,0,0,0,0,0,1,1,1,4,0,3,0,0,3,0,0,1,1,1
"307",0,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
"308",1,0,0,0,2,0,1,8,1,1,0,1,0,1,1,0,3,0,0,2
"309",0,0,1,0,2,0,0,0,1,1,0,0,0,1,1,0,0,1,0,2
"310",0,0,0,1,0,0,2,1,1,0,1,0,0,1,2,0,1,0,0,1
"311",0,2,1,1,0,0,1,1,1,5,0,0,1,1,1,0,0,1,0,2
"312",0,1,1,1,0,0,0,0,1,0,0,1,0,3,0,0,0,0,1,3
"313",0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,0,0,0,1
"314",0,0,1,0,0,0,1,5,1,0,0,0,0,1,0,0,1,0,0,1
"315",0,0,1,1,0,0,3,0,1,2,1,0,0,0,0,0,1,1,0,1
"316",0,0,0,0,0,0,2,1,1,1,0,1,1,0,1,0,0,0,0,1
"317",0,4,1,1,0,0,0,1,1,5,0,0,0,0,5,1,1,0,0,1
"318",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1
"319",0,0,0,0,2,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1
"320",0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"321",0,0,0,0,1,0,2,1,1,2,0,1,1,1,2,0,0,0,0,2
"322",0,2,0,0,0,0,2,0,1,0,1,1,0,1,0,0,0,1,1,2
"323",0,2,0,0,0,1,2,2,1,0,0,1,4,1,1,1,0,0,0,1
